---------------------------------------------------------------------------------------------------------------------------------------------------------------------
|     Src IP address      | Src port |     Dst IP address      | Dst port | Layer 4 | Layer 7 |   Packets  |   Bytes    |  Initial timestamp  |   Final timestamp   |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
|       14.22.9.84        |    8080  |       192.168.1.2       |   55648  |   TCP   |  HTTP   |        10  |    2.1 K   | 2023-09-15 00:06:15 | 2023-09-15 00:07:26 |                                        
|       192.168.1.2       |   55648  |       14.22.9.84        |    8080  |   TCP   |  HTTP   |        13  |    728     | 2023-09-15 00:06:15 | 2023-09-15 00:07:26 |                                        
|       192.168.1.2       |   54940  |        223.5.5.5        |     443  |   TCP   |  HTTPS  |        64  |    4.8 K   | 2023-09-15 00:06:15 | 2023-09-15 00:07:29 |                                        
|    240e:3b2:3880:de30:ce3c:3024:c956:ab9    |   40050  |              2400:3200:baba::1              |     443  |   TCP   |  HTTPS  |        62  |    4.6 K   | 2023-09-15 00:06:15 | 2023-09-15 00:07:29 |
|              2400:3200:baba::1              |     443  |    240e:3b2:3880:de30:ce3c:3024:c956:ab9    |   40050  |   TCP   |  HTTPS  |        57  |    7.7 K   | 2023-09-15 00:06:15 | 2023-09-15 00:07:29 |
|        223.5.5.5        |     443  |       192.168.1.2       |   54940  |   TCP   |  HTTPS  |        60  |    7.8 K   | 2023-09-15 00:06:15 | 2023-09-15 00:07:29 |                                        
|    240e:3b2:3880:de30:ce3c:3024:c956:ab9    |   41480  |              240e:97c:2f:2::5c              |     443  |   TCP   |  HTTPS  |         1  |     20     | 2023-09-15 00:06:15 | 2023-09-15 00:06:15 |
|    240e:3b2:3880:de30:ce3c:3024:c956:ab9    |   51798  |      240e:97c:4008:1401:8000:0:b00:100      |     443  |   TCP   |  HTTPS  |         4  |    128     | 2023-09-15 00:06:15 | 2023-09-15 00:06:56 |
|      240e:97c:4008:1401:8000:0:b00:100      |     443  |    240e:3b2:3880:de30:ce3c:3024:c956:ab9    |   51798  |   TCP   |  HTTPS  |         5  |    223     | 2023-09-15 00:06:15 | 2023-09-15 00:06:56 |
|    240e:3b2:3880:de30:ce3c:3024:c956:ab9    |   43334  |             240e:f7:4019:12::3              |     443  |   TCP   |  HTTPS  |         3  |     84     | 2023-09-15 00:06:15 | 2023-09-15 00:06:16 |
|    240e:3b2:3880:de30:ce3c:3024:c956:ab9    |   43330  |             240e:f7:4019:12::3              |     443  |   TCP   |  HTTPS  |         3  |     84     | 2023-09-15 00:06:15 | 2023-09-15 00:06:16 |
|             240e:f7:4019:12::3              |     443  |    240e:3b2:3880:de30:ce3c:3024:c956:ab9    |   43330  |   TCP   |  HTTPS  |         5  |    124     | 2023-09-15 00:06:15 | 2023-09-15 00:06:16 |
|             240e:f7:4019:12::3              |     443  |    240e:3b2:3880:de30:ce3c:3024:c956:ab9    |   43334  |   TCP   |  HTTPS  |         5  |    124     | 2023-09-15 00:06:15 | 2023-09-15 00:06:16 |
|    240e:3b2:3880:de30:ce3c:3024:c956:ab9    |   37286  |             240e:f7:4019:12::2              |     443  |   TCP   |  HTTPS  |         4  |    104     | 2023-09-15 00:06:15 | 2023-09-15 00:06:16 |
|             240e:f7:4019:12::2              |     443  |    240e:3b2:3880:de30:ce3c:3024:c956:ab9    |   37286  |   TCP   |  HTTPS  |         5  |    124     | 2023-09-15 00:06:15 | 2023-09-15 00:06:16 |
|    240e:3b2:3880:de30:ce3c:3024:c956:ab9    |   37292  |             240e:f7:4019:12::2              |     443  |   TCP   |  HTTPS  |         4  |    104     | 2023-09-15 00:06:15 | 2023-09-15 00:06:16 |
